DOI	Date	License
10.1101/007377	2014-07-26	CC BY-NC-ND
10.1101/007385	2014-07-22	CC BY-NC-ND
10.1101/007393	2014-07-23	CC BY-NC-ND
10.1101/007401	2014-07-23	CC BY
10.1101/007419	2014-07-24	CC BY-NC-ND
10.1101/007427	2014-07-23	CC BY
10.1101/007435	2014-07-24	None
10.1101/007443	2014-07-24	CC BY-NC-ND
10.1101/007450	2014-07-25	None
10.1101/007468	2014-07-25	CC BY
10.1101/007476	2014-10-27	CC BY-NC-ND
10.1101/007484	2014-07-26	None
10.1101/007492	2014-12-08	CC BY-NC-ND
10.1101/007500	2014-07-28	CC BY-NC-ND
10.1101/007518	2014-07-30	None
10.1101/007526	2014-07-28	None
10.1101/007542	2015-02-10	CC BY-NC-ND
10.1101/007559	2014-12-08	None
10.1101/007567	2014-07-29	CC BY
10.1101/007575	2014-07-29	CC BY-NC
10.1101/007583	2014-08-01	CC BY
10.1101/007591	2014-08-01	CC BY-NC-ND
10.1101/007609	2014-08-01	CC BY-NC
10.1101/007617	2014-08-07	None
10.1101/007625	2014-08-07	None
10.1101/007633	2014-08-01	CC BY-NC-ND
10.1101/007641	2014-08-01	CC BY-NC-ND
10.1101/007658	2014-08-05	CC BY
10.1101/007666	2014-08-06	None
10.1101/007674	2014-08-06	CC BY-NC-ND
10.1101/007682	2014-08-06	CC BY-NC-ND
10.1101/007690	2014-12-16	None
10.1101/007708	2014-08-06	None
10.1101/007716	2014-08-08	CC BY-NC
10.1101/007724	2014-08-07	CC BY
10.1101/007732	2014-08-07	CC BY-ND
10.1101/007740	2014-08-08	None
10.1101/007757	2014-08-08	None
10.1101/007765	2015-02-27	None
10.1101/007773	2014-08-09	CC BY
10.1101/007781	2015-07-04	CC BY-NC-ND
10.1101/007799	2014-08-09	CC BY-NC-ND
10.1101/007807	2014-08-09	None
10.1101/007823	2014-09-17	None
10.1101/007831	2015-01-30	CC BY
10.1101/007849	2014-08-12	CC BY-NC-ND
10.1101/007864	2014-08-11	CC BY-NC-ND
10.1101/007898	2014-08-12	None
10.1101/007906	2015-01-30	None
10.1101/007914	2014-08-13	CC BY
10.1101/007922	2015-01-03	CC BY-NC-ND
10.1101/007930	2014-08-14	CC BY-NC-ND
10.1101/007948	2014-08-14	CC BY
10.1101/007955	2014-08-14	CC BY-NC-ND
10.1101/007963	2014-08-14	CC BY-NC-ND
10.1101/007971	2014-08-15	CC BY-NC-ND
10.1101/008003	2014-08-14	CC BY-NC-ND
10.1101/008011	2014-08-14	CC BY-NC-ND
10.1101/008029	2014-08-14	None
10.1101/008037	2014-10-23	CC BY-ND
10.1101/008052	2014-08-15	CC BY
10.1101/008078	2014-08-16	CC BY-NC-ND
10.1101/008110	2015-05-07	None
10.1101/008128	2014-08-18	CC BY
10.1101/008136	2014-08-18	CC BY
10.1101/008144	2014-08-19	CC BY-NC-ND
10.1101/008151	2014-08-19	CC BY-NC-ND
10.1101/008169	2014-08-19	CC BY
10.1101/008177	2014-08-19	CC BY-NC-ND
10.1101/008185	2014-09-15	CC BY-NC
10.1101/008193	2014-08-19	None
10.1101/008201	2014-09-11	CC BY-NC-ND
10.1101/008219	2014-08-20	None
10.1101/008227	2014-08-21	CC BY-NC-ND
10.1101/008235	2014-08-20	CC BY
10.1101/008250	2014-08-20	None
10.1101/008268	2015-07-07	CC BY
10.1101/008276	2014-08-21	CC BY
10.1101/008284	2014-08-23	None
10.1101/008318	2014-12-02	None
10.1101/008326	2014-08-25	None
10.1101/008342	2015-10-30	CC BY-NC-ND
10.1101/008359	2014-11-04	CC BY
10.1101/008367	2014-08-22	CC BY
10.1101/008375	2015-05-21	CC BY-NC
10.1101/008383	2014-08-23	CC BY-NC-ND
10.1101/008409	2014-08-25	CC BY
10.1101/008417	2014-08-25	CC BY
10.1101/008425	2014-08-25	CC BY
10.1101/008433	2014-08-27	CC BY-NC
10.1101/008458	2015-04-22	CC BY
10.1101/008466	2014-09-08	None
10.1101/008474	2014-08-27	CC BY
10.1101/008482	2014-08-27	CC BY-NC-ND
10.1101/008490	2014-08-28	None
10.1101/008508	2014-09-19	CC BY
10.1101/008516	2014-08-28	CC BY-NC-ND
10.1101/008524	2014-08-28	CC BY-NC-ND
10.1101/008532	2014-08-28	None
10.1101/008540	2014-09-04	None
10.1101/008557	2014-08-29	CC BY-NC
